Symbol,GICS Sector,Market_Cap
MMM,Industrials,104756625408
ABT,Health Care,220485632000
ABBV,Health Care,187943485440
ABMD,Health Care,15899406336
ACN,Information Technology,215118315520
ATVI,Communication Services,58530308096
AMD,Information Technology,128332226560
AAP,Consumer Discretionary,13586731008
AES,Utilities,15619478528
AFL,Financials,35301097472
A,Health Care,52189446144
APD,Materials,57457496064
AKAM,Information Technology,17932468224
ALB,Materials,26477479936
ALGN,Health Care,57393025024
ALLE,Industrials,12318875648
LNT,Utilities,14367754240
ALL,Financials,38586368000
GOOGL,Communication Services,1898919362560
GOOG,Communication Services,1853121495040
MO,Consumer Staples,89692635136
AMZN,Consumer Discretionary,1704640380928
AMCR,Materials,18100613120
AEE,Utilities,21356564480
AAL,Industrials,13849125888
AEP,Utilities,41339322368
AXP,Financials,139597774848
AIG,Financials,46873620480
AMT,Real Estate,133476007936
AWK,Utilities,32086677504
AMP,Financials,30870663168
ABC,Health Care,25322809344
AME,Industrials,29520685056
AMGN,Health Care,122747715584
APH,Information Technology,45155864576
ADI,Information Technology,95943983104
ANSS,Information Technology,31186327552
ANTM,Health Care,91935342592
AON,Financials,67486502912
AOS,Industrials,10164078592
APA,Energy,7604816896
AAPL,Information Technology,2433886453760
AMAT,Information Technology,128143687680
APTV,Consumer Discretionary,39263113216
ADM,Consumer Staples,33427712000
ANET,Information Technology,27629484032
AJG,Financials,31847768064
AIZ,Financials,9696106496
T,Communication Services,192851394560
ATO,Utilities,11597139968
ADSK,Information Technology,63016124416
ADP,Information Technology,84384473088
AZO,Consumer Discretionary,35825315840
AVB,Real Estate,31610683392
AVY,Materials,17980639232
BKR,Energy,20065953792
BLL,Materials,30511302656
BAC,Financials,343972511744
BBWI,Consumer Discretionary,17816096768
BAX,Health Care,40756154368
BDX,Health Care,74682056704
BBY,Consumer Discretionary,26750517248
BIO,Health Care,23526225920
TECH,Health Care,20729276416
BIIB,Health Care,43558576128
BLK,Financials,133113667584
BK,Financials,43712765952
BA,Industrials,126892064768
BKNG,Consumer Discretionary,98777554944
BXP,Real Estate,17356988416
BSX,Health Care,62960521216
BMY,Health Care,135705026560
AVGO,Information Technology,205372555264
BR,Information Technology,19056277504
BRO,Financials,16178075648
